ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
94,Nexus,Dépôt d'artefacts,2018 ; 2019 ; 2020,R,,,,,178,,Conception & Développement,"Installation, Packaging, Diffusion et Distribution",,MIMDEV,3.18.1-01
95,NGINX,Serveur web et reverse proxy,2018 ; 2019 ; 2020,R,,,,Q306144,213,,Réseau,Serveur Web & Reverse Proxy,Services déconcentrés,MIMPROD,Distribution
96,NodeJS,Environnement de développement,2018 ; 2019 ; 2020,R,,,,Q756100,238,X11,Conception & Développement,Serveur d'application,,MIMDEV,8
97,Notepad++,Éditeur de textes,2018 ; 2019 ; 2020,R,,,174,Q2033,55,GPL-2.0-only,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,7.8.2
98,Npm,Gestionnaire de paquets pour Node.js,2018 ; 2019 ; 2020,R,,,,Q7067518,179,Artistic-2.0,Conception & Développement,"Installation, Packaging, Diffusion et Distribution",,MIMDEV,Dernière
99,NVDA,Lecteur d’écran,2018 ; 2019 ; 2020,R,,,,Q1116614,63,GPL-2.0-only,Espace utilisateur et canal,Accessibilité,,MIMO,2019.2.1
100,OBS Studio,Régie video pour enregistrement et/ou streaming,2019 ; 2020,R,,,,Q21707789,285,GPL-2.0-only,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,24.0.5
101,OCS Inventory,"Inventaire, télédéploiement et découverte du réseau",2018 ; 2019 ; 2020,R,,,,Q1135744,83,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,,MIMO,2.4
102,OCS Inventory ng,Automatisation de l'import OCS Inventory-NG,2018 ; 2019 ; 2020,R,GLPI,,,,91,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,Gestion parc,MIMO,1.5.6
103,OpenDocument Reader,Lecteur de fichiers OpenDocument,2018 ; 2019 ; 2020,R,,,,,290,GPL-3.0-or-later,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,1.3.2
104,OpenJDK,Environnement de développement,2018 ; 2019 ; 2020,R,,,,Q1461054,173,GPL-2.0,Conception & Développement,Environnement d'exécution,,MIMDEV,11
105,OpenLdap,Annuaire,2018 ; 2019 ; 2020,R,,,,Q682918,98,,Sécurité,Authentification,Serveur Bureautique,MIMPROD,2.4
107,OpenNebula,Virtualisation de serveurs,2018 ; 2019 ; 2020,R,,,,Q1164484,222,,Logiciel Système et Virtualisation,Virtualisation serveur et jusqu'à plateforme,Infra virtuelle,MIMPROD,5.10
108,OpenStack,IaaS – 2,2018 ; 2019 ; 2020,R,,,,Q1470293,221,,Logiciel Système et Virtualisation,Virtualisation serveur et jusqu'à plateforme,Infonuage,MIMPROD,0
109,Pacemaker,Haute Disponibilté,2018 ; 2019 ; 2020,R,,,,,236,GPL-2.0,Logiciel Système et Virtualisation,Haute disponibilité (OS),Infra virtuelle,MIMPROD,Distribution
